,0,date
0,0.286,2017-09-22
1,0.388,2017-09-29
2,0.702,2017-10-13
3,0.312,2017-10-20
4,0.406,2017-10-27
5,0.224,2017-11-03
6,0.544,2017-11-10
7,0.17,2017-11-17
8,0.164,2017-11-24
9,0.482,2017-12-01
10,0.378,2017-12-08
11,0.456,2017-12-15
12,0.382,2017-12-22
13,0.526,2017-12-29
14,0.778,2018-01-05
15,0.466,2018-01-12
16,0.298,2018-01-19
17,0.634,2018-01-26
18,0.14,2018-02-02
19,0.054,2018-02-09
20,0.282,2018-02-14
21,0.746,2018-02-23
22,0.836,2018-03-02
23,0.848,2018-03-09
24,0.384,2018-03-16
25,0.1,2018-03-23
26,0.542,2018-03-30
27,0.454,2018-04-04
28,0.392,2018-04-13
29,0.19,2018-04-20
30,0.306,2018-04-27
31,0.462,2018-05-04
32,0.608,2018-05-11
33,0.464,2018-05-18
34,0.302,2018-05-25
35,0.146,2018-06-01
36,0.208,2018-06-08
37,0.16,2018-06-15
38,0.1,2018-06-22
39,0.464,2018-06-29
40,0.226,2018-07-06
41,0.686,2018-07-13
42,0.632,2018-07-20
43,0.626,2018-07-27
44,0.076,2018-08-03
45,0.45,2018-08-10
46,0.118,2018-08-17
47,0.236,2018-08-24
48,0.226,2018-08-31
49,0.252,2018-09-07
50,0.288,2018-09-14
51,0.846,2018-09-21
52,0.636,2018-09-28
53,0.064,2018-10-12
54,0.072,2018-10-19
55,0.698,2018-10-26
56,0.934,2018-11-02
57,0.652,2018-11-09
58,0.928,2018-11-16
59,0.092,2018-11-23
60,0.168,2018-11-30
61,0.416,2018-12-07
62,0.16,2018-12-14
63,0.13,2018-12-21
64,0.216,2018-12-28
65,0.522,2019-01-04
66,0.82,2019-01-11
67,0.634,2019-01-18
68,0.368,2019-01-25
69,0.466,2019-02-01
70,0.934,2019-02-15
71,0.93,2019-02-22
72,0.954,2019-03-01
73,0.534,2019-03-08
74,0.438,2019-03-15
75,0.79,2019-03-22
76,0.506,2019-03-29
77,0.886,2019-04-04
78,0.362,2019-04-12
79,0.416,2019-04-19
80,0.082,2019-04-26
81,0.102,2019-04-30
82,0.152,2019-05-10
83,0.24,2019-05-17
84,0.16,2019-05-24
85,0.382,2019-05-31
86,0.114,2019-06-06
87,0.344,2019-06-14
88,0.938,2019-06-21
89,0.488,2019-06-28
90,0.554,2019-07-05
91,0.178,2019-07-12
92,0.358,2019-07-19
93,0.448,2019-07-26
94,0.232,2019-08-02
95,0.12,2019-08-09
96,0.466,2019-08-16
97,0.794,2019-08-23
98,0.394,2019-08-30
99,0.868,2019-09-06
100,0.856,2019-09-12
101,0.356,2019-09-20
102,0.15,2019-09-27
103,0.118,2019-09-30
104,0.504,2019-10-11
105,0.308,2019-10-18
106,0.372,2019-10-25
107,0.394,2019-11-01
108,0.404,2019-11-08
109,0.218,2019-11-15
110,0.416,2019-11-22
111,0.458,2019-11-29
112,0.752,2019-12-06
113,0.752,2019-12-13
114,0.808,2019-12-20
115,0.452,2019-12-27
116,0.872,2020-01-03
117,0.742,2020-01-10
118,0.344,2020-01-17
119,0.162,2020-01-23
120,0.292,2020-02-07
121,0.708,2020-02-14
122,0.858,2020-02-21
123,0.152,2020-02-28
124,0.642,2020-03-06
125,0.172,2020-03-13
126,0.132,2020-03-20
127,0.38,2020-03-27
128,0.396,2020-04-03
129,0.516,2020-04-10
130,0.522,2020-04-17
131,0.318,2020-04-24
132,0.498,2020-04-30
133,0.738,2020-05-08
134,0.502,2020-05-15
135,0.202,2020-05-22
136,0.418,2020-05-29
137,0.77,2020-06-05
138,0.398,2020-06-12
139,0.822,2020-06-19
140,0.56,2020-06-24
141,0.856,2020-07-03
142,0.976,2020-07-10
143,0.22,2020-07-17
144,0.122,2020-07-24
145,0.578,2020-07-31
146,0.54,2020-08-07
147,0.412,2020-08-14
148,0.464,2020-08-21
149,0.442,2020-08-28
150,0.346,2020-09-04
151,0.146,2020-09-11
152,0.62,2020-09-18
153,0.204,2020-09-25
154,0.172,2020-09-30
155,0.474,
